"I0","PA500","HFS","DA","Area","ADA","MaxIP","DR","P","Class"
2100,0.121649,0.377689,450.551667,35671.60629,79.173176,436.09964,113.19857,NA,"adi"
485.668806,0.230209,0.134041,253.893699,8135.968359,32.044783,64.855446,245.470531,541.363975,"car"
370.395725,0.10472,0,NA,1308.12043,11.284366,31.367031,112.715102,NA,"mas"
2000,0.067195,NA,330.271646,15381.09769,46.571051,169.197983,NA,2063.073212,"adi"
362.831266,0.200713,0.244346,124.912559,3290.462446,26.342127,69.389389,103.866552,NA,"car"
650,0.041015,0.145211,216.81133,427.534068,1.971918,33.765163,214.165979,528.699233,"con"
200,0.037699,0.117286,42.316675,220.810907,5.218059,10.675764,40.947882,218.034313,"fad"
300,0.190066,NA,97.10813,3039.561303,31.300791,51.353973,82.418192,387.078228,"car"
310,0.174707,0.165457,98.509961,2741.032044,27.824923,49.327862,85.27001,388.977808,"mas"
1647.939811,0.080983,NA,NA,11852.48506,20.549747,111.435913,565.90291,1402.877737,"con"
1084.247037,0.073478,0,191.897953,2937.971545,15.310072,66.563629,NA,1064.103828,"con"
145,0.117635,NA,21.218942,NA,3.885941,20.303082,6.166715,162.510927,"gla"
2600,0.200538,0.208043,NA,174480.4762,164.071543,418.687286,977.552367,2664.583623,"adi"
1850,0.079149,NA,253.621455,13113.20309,51.70384,160.06546,196.730498,1916.985365,"adi"
1111.814068,0.098786,NA,NA,7659.742134,19.793275,86.025124,377.304504,NA,"con"
390,0.358316,NA,245.686103,NA,40.929612,70.324783,NA,477.54836,"car"
294.474846,0.206647,0.467748,194.871035,NA,28.435504,36.765797,NA,445.513299,"car"
303,0.063355,NA,22.567893,102.500309,4.541864,21.830841,NA,NA,"gla"
1800,0.091979,0.205251,362.863321,15021.55389,41.397278,217.833969,290.20364,1893.663712,"adi"
223,0.124093,0.079587,33.096335,NA,5.9527,30.454874,12.95639,252.483348,"gla"
260.277521,0.079063,0.032812,58.817611,NA,4.713878,17.86867,NA,NA,"mas"
410,0.317824,0.297404,255.815179,10622.54711,41.524303,67.523209,246.742826,508.540356,"car"
